Property Title,Price,Location,Description
4 bedroom flat / apartment for sale,"250,000,000 ","Off Agidingbi Road, Ikeja, Agidingbi, Ikeja, Lagos","2 block of 10 nos flats comprising of 4 bedrooms, 3 bedrooms and 2 bedrooms having double frontage off agidingbi road ,ikeja for sale with c of o at n250m asking. each of the block can be sold separat...More detailsAdded Yesterday"
4 bedroom flat / apartment for sale,"46,500,000 ","Omole Phase 1, Ikeja, Lagos","This is well maintained 4 bedeoom flat in lsdpc estate, omole estte ph 1, ikeja.omole estate ph 1 enjoys premium electricity supply of 24 hours from ikeja electric and its a well secured esta...More detailsAdded on 04 Oct 2021"
4 bedroom flat / apartment for sale,"750,000,000 ","Ogba, Ikeja, Lagos",Newly built and tastefully finished 4 bedroom duplex with bq in ogba off college road. ...More detailsAdded on 01 Oct 2021
