Property Title,Price,Location,Description
5 bedroom flat / apartment for sale,"350,000,000 ","Chevron, Lekki, Lagos","Chevron water front all-time luxury duplex with first floor water fall and infinity swimming pool..featuressecured estate, cctv, water heater, gym room, 2maid rooms, 1 study room, infinity swimming pool, good compound space, pop ceiling, jacuzzi, q home office, water front property and many more.title: governor's consentthe above price is an asking pri...More detailsAdded on 13 Sep 2021"
5 bedroom flat / apartment for sale,"60,000,000 ","Lekki Phase 1, Lekki, Lagos","A luxury four bedroom terrace in a serene environment plus a bq, swimming pool, water treatment and securi...More detailsAdded on 24 Sep 2021"
5 bedroom flat / apartment for sale,"150,000,000 ","Orchid, Lekki, Lagos","For salefully furnished 5 bedroom duplex available for sale in orchid, lekki lagosfeatures:- fully detached on land measuring 400 square meters- serviced and gated estate with recreational center for basket ball, football, volley ball, lawn tennis, lakeview, etc.- furnished with luxury furniture and fittings- quality italian tiles- big living room- fully furnished family lounge- 5 large bedrooms- swimming pool- ante room- fully fitted kitchen with new fridge and freezer, cooker with oven, microwave, heat extractor, etc- 11 air conditioner systems installed- quality lighting systems and toilet accessories- luxury chandeliers- ample parking space for up to 8 cars- stamped concrete compound- green area- cctv- 24hrs security (guards and mobile police)- 6 tvs with multiple dstv decoders- 2 living rooms with 2 sets of living room chairs- luxury dining set- quality solar inverter with 32 panels + 12 batteries- 5 beds + 5 mattresses- fully fitted gym room with gym equipment- fully fitted laundry room with washing machine and dryer- all automated power window blinds- title : governor's consent- price : n150m ($27...More detailsAdded on 17 Sep 2021"
5 bedroom flat / apartment for sale,"140,000,000 ","Orchid Hotel Road, Lekki, Lagos","Pantheon smart homes and terraces(offplan)newly builts witchless smart 4bedroom terrace duplex in a mini serviced estate.welcome to the world of smart home! with smart home device you can control the following devices in your house inside or outside the building,on the smart home device orwith your mobile phone:title:cofolocation: orchid hotel road lekki lagossize : 5bedroomfulldetachedwithbq+poolprice : n170,000,000deposit : 30%other chargesurvey--n1,000,000deed--n750,000featuresmodern interior design for the living room and kitchen all the rooms including kitchencomes with central pop speaker jacuzzi dinning area modern internal and externalrailings fitted wardrobes air-conditioning unitsample parking spacesecurity doorsfully fitted kitchen gas cooker in built oven heat extractor in built microwavewashing machine wash hand basin central water treatment plant cctvcamerainstalled in the living room, kitchen and family lobbybonus features in the house-32'' television in the kitchen-the kitchen comes with single door fridge-1unit of 1hpac-all toilet comes with extractor fan-inverter and solar system pre wi...More detailsAdded on 08 Oct 2021"
5 bedroom flat / apartment for sale,"170,000,000 ","Orchid Hotel Road, Lekki, Lagos","Pantheon smart homes and terraces(offplan)newly builts witchless smart 4bedroom terrace duplex in a mini serviced estate.welcome to the world of smart home! with smart home device you can control thefollowing devices in your house inside or outside the building,on the smart home device orwith your mobile phone:title:cofolocation: orchid hotel road lekki lagossize : 5bedroomfulldetachedwithbq+poolprice : n170,000,000deposit : 30%other chargesurvey--n1,000,000deed--n750,000featuresmodern interior design for the living room and kitchenalltheroomsincluding kitchencomes with central pop speakerjacuzzidinning areamodern internal and externalrailingsfitted wardrobesair-conditioning unitsample parking spacesecurity doorsfully fitted kitchengas cookerinbuilt ovenheat extractorinbuilt microwavewashing machinewash hand basincentral watertreatment plantcctvcamerainstalled in the living room, kitchen and family lobbybonus features in the house-32'' television in the kitchen-the kitchen comes with single door fridge-1unit of 1hpac-all toilet comes with extractor fan-inverter and solar system pre wi...More detailsAdded on 08 Oct 2021"
5 bedroom flat / apartment for sale,"95,000,000 ","Lekki County Home, Lekki, Lagos",5 bedroom detached duplex for sale at lekki county homes at n90mfeatures:24-hr neat water supply1 room bqbalconygreat environmentvarious pop designsample parking spaceabsolute privacylovely lightingfully fitted kitchenwater heatershoe rackscar portshower cubiclesolid security doorsexcellent space arrangementall room en suite with guests toiletproperty overviewtype of property houseroomsbedroom 5bathroom...More detailsAdded on 08 Oct 2021
